,game_id,x_location,y_location,outcome,xg,player,x_end_location,y_end_location,z_end_location,minute,team
843,7552,109.0,42.0,Wayward,0.117948756,Anice Badri,109.0,51.0,,60,Tunisia
844,7552,102.0,29.0,Off T,0.041763276,Yannick Ferreira Carrasco,120.0,45.0,2.1,60,Belgium
845,7552,97.0,30.0,Off T,0.037141927,Eden Hazard,120.0,44.6,5.6,63,Belgium
846,7552,101.0,16.0,Blocked,0.036777098,Wahbi Khazri,112.0,34.0,,65,Tunisia
847,7552,101.0,45.0,Blocked,0.08310661,Naïm Sliti,106.0,45.0,,65,Tunisia
848,7552,100.0,30.0,Saved,0.1010899,Anice Badri,115.0,40.1,0.5,66,Tunisia
849,7552,93.0,41.0,Wayward,0.013837011,Saîf-Eddine Khaoui,120.0,35.0,,69,Tunisia
850,7552,114.0,29.0,Blocked,0.7316597,Michy Batshuayi Tunga,119.0,41.0,,75,Belgium
851,7552,104.0,23.0,Saved,0.028426154,Yannick Ferreira Carrasco,120.0,40.1,0.4,78,Belgium
852,7552,114.0,39.0,Post,0.63307166,Michy Batshuayi Tunga,120.0,36.8,2.7,79,Belgium
853,7552,108.0,58.0,Off T,0.02469672,Thomas Meunier,120.0,40.7,3.5,79,Belgium
854,7552,113.0,39.0,Saved,0.3214559,Michy Batshuayi Tunga,119.0,39.9,1.4,80,Belgium
855,7552,113.0,54.0,Blocked,0.087478675,Michy Batshuayi Tunga,115.0,51.0,,80,Belgium
856,7552,94.0,56.0,Off T,0.010292118,Axel Witsel,120.0,38.0,5.2,81,Belgium
857,7552,113.0,35.0,Goal,0.16502693,Michy Batshuayi Tunga,120.0,43.6,0.1,89,Belgium
858,7552,63.0,42.0,Off T,0.011951736,Wahbi Khazri,120.0,40.1,4.4,90,Tunisia
859,7552,103.0,37.0,Off T,0.21442711,Michy Batshuayi Tunga,120.0,45.4,0.4,91,Belgium
860,7552,111.0,44.0,Goal,0.27132893,Wahbi Khazri,120.0,36.8,0.5,92,Tunisia
861,7532,87.0,57.0,Off T,0.010184587,Luis Jan Piers Advíncula Castrillón,120.0,49.1,7.7,4,Peru
862,7532,84.0,24.0,Saved,0.009402218,Víctor Yoshimar Yotún Flores,118.0,37.4,1.3,7,Peru
863,7532,87.0,41.0,Off T,0.01631135,Édison Michael Flores Peralta,120.0,45.8,3.9,10,Peru
864,7532,103.0,58.0,Saved,0.024568832,André Martín Carrillo Díaz,115.0,37.0,0.9,12,Peru
865,7532,86.0,43.0,Blocked,0.011179907,Renato Fabrizio Tapia Cortijo,98.0,40.0,,13,Peru
866,7532,107.0,37.0,Wayward,0.014436409,Alberto Junior Rodríguez Valdelomar,120.0,64.0,,14,Peru
867,7532,113.0,26.0,Blocked,0.03826663,Pione Sisto Ifolo Emirmija,113.0,28.0,,19,Denmark
